ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,173,C:\Windows\system32\cmimageworker.exe,2021-05-17 14:37:54,NA,False,Live Registry
1,174,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,2020-12-02 22:45:24,NA,False,Live Registry
1,175,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,2020-12-02 22:38:14,NA,False,Live Registry
1,176,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2108.7-0\NisSrv.exe,2021-09-12 09:03:38,NA,False,Live Registry
1,177,C:\Windows\System32\SLUI.exe,2020-12-11 20:37:02,NA,False,Live Registry
1,178,C:\Windows\system32\SppExtComObj.exe,2021-09-17 13:51:51,NA,False,Live Registry
1,179,C:\Windows\system32\sc.exe,2019-12-07 09:09:34,NA,False,Live Registry
1,180,C:\Windows\system32\find.exe,2019-12-07 09:09:37,NA,False,Live Registry
1,181,C:\Windows\system32\reg.exe,2019-12-07 09:09:57,NA,False,Live Registry
1,182,C:\Windows\system32\sppsvc.exe,2021-09-17 13:51:51,NA,False,Live Registry
1,183,C:\Windows\system32\wermgr.exe,2021-07-09 13:58:54,NA,False,Live Registry
1,184,D:\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlceip.exe,2019-09-24 11:09:08,NA,False,Live Registry
1,185,D:\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlservr.exe,2019-09-24 11:09:08,NA,False,Live Registry
1,186,C:\Windows\system32\wevtutil.exe,2021-09-17 13:51:43,NA,False,Live Registry
1,187,D:\Malwarebytes\Anti-Malware\MBAMService.exe,2021-08-07 14:57:19,NA,False,Live Registry
1,188,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe,2021-08-23 06:00:40,NA,False,Live Registry
1,189,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2108.7-0\MsMpEng.exe,2021-09-12 09:03:38,NA,False,Live Registry
1,190,C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe,2019-09-24 10:21:10,NA,False,Live Registry
1,191,C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_01042bb7f11c17c4\RtkAudUService64.exe,2021-04-18 23:29:48,NA,False,Live Registry
1,192,C:\Windows\System32\spoolsv.exe,2021-09-17 13:51:37,NA,False,Live Registry
1,193,C:\Windows\system32\vmcompute.exe,2021-09-17 13:52:03,NA,False,Live Registry
1,194,C:\Windows\system32\dxgiadaptercache.exe,2021-04-16 15:52:52,NA,False,Live Registry
1,195,C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_7b0dc0eb3dabf562\dbInstaller.exe,2021-06-11 16:48:14,NA,False,Live Registry
