BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU\5\1,2,302,2,Desktop\E:\\Univer\RADIUS_Implementation-master,Directory,RADIUS_Implementation-master,0,2021-05-24 17:36:24,2020-12-23 19:43:10,2021-05-24 17:36:22,2021-09-27 16:37:17,10814272,,1,2021-09-27 16:37:12,,True,exFAT file system
BagMRU\5\1,3,303,1,Desktop\E:\\Univer\Soft,Directory,Soft,0,2021-05-24 17:36:42,2021-05-24 16:18:36,2021-05-24 17:36:40,2021-09-27 16:37:17,10814496,,1,2021-09-27 16:37:14,,True,exFAT file system
BagMRU\5\1,4,304,0,Desktop\E:\\Univer\USBPcap,Directory,USBPcap,0,2021-05-24 17:44:14,2021-03-27 19:22:08,2021-05-24 17:44:12,2021-09-27 16:37:17,10814592,,1,2021-09-27 16:37:17,2021-09-27 16:37:17,True,exFAT file system
BagMRU\5\1\0,0,299,0,Desktop\E:\\Univer\2 курс\New folder,Directory,New folder,0,2021-05-24 16:36:24,2021-04-27 15:07:14,2021-05-24 16:36:22,2021-09-27 16:36:19,252477440,,1,2021-09-27 16:36:19,2021-09-27 16:36:19,True,exFAT file system
BagMRU\5\1\1,0,301,0,Desktop\E:\\Univer\Pets\Chat,Directory,Chat,0,2021-05-24 17:36:22,2021-05-11 19:07:38,2021-05-24 17:36:20,2021-09-27 16:36:51,2278621184,,1,2021-09-27 16:36:51,2021-09-27 16:36:51,True,exFAT file system
BagMRU\5\2,0,288,0,Desktop\E:\\3 курс\StatementGenerator,Directory,StatementGenerator,0,2021-03-03 13:48:44,2021-03-03 13:28:38,2021-03-03 13:48:42,2021-09-27 16:35:50,2677112832,,1,2021-09-27 16:35:50,2021-09-27 16:35:50,True,exFAT file system
BagMRU\5\3,0,0,4,Desktop\E:\\4 курс\БОС,Directory,БОС,0,2021-03-03 14:10:06,2021-03-03 13:25:02,2021-03-03 14:10:04,,2678260384,,1,,,False,exFAT file system
BagMRU\5\3,1,0,3,Desktop\E:\\4 курс\БСБД,Directory,БСБД,0,2021-03-03 14:10:18,2021-03-03 13:25:02,2021-03-03 14:10:16,,2678260480,,1,,,False,exFAT file system
BagMRU\5\3,2,0,2,Desktop\E:\\4 курс\КМЗИ,Directory,КМЗИ,0,2021-03-03 14:12:22,2021-03-03 13:25:06,2021-03-03 14:12:20,,2678260768,,1,,,False,exFAT file system
BagMRU\5\3,3,0,1,Desktop\E:\\4 курс\МО,Directory,МО,0,2021-03-03 14:12:22,2021-03-03 13:27:42,2021-03-03 14:12:20,,2678260864,,1,,,False,exFAT file system
BagMRU\5\3,4,0,0,Desktop\E:\\4 курс\ПАСОИБ,Directory,ПАСОИБ,0,2021-03-03 14:12:24,2021-03-03 13:25:06,2021-03-03 14:12:22,,2678260960,,1,,,False,exFAT file system
BagMRU\5\3\1,0,0,2,Desktop\E:\\4 курс\БСБД\Курсовая,Directory,Курсовая,0,2021-03-03 14:10:24,2021-03-03 13:25:02,2021-03-03 14:10:22,,2314175840,,1,,,False,exFAT file system
BagMRU\5\3\1,1,0,1,Desktop\E:\\4 курс\БСБД\ЛабРаб,Directory,ЛабРаб,0,2021-03-03 14:10:26,2021-03-03 13:25:02,2021-03-03 14:10:24,,2314175936,,1,,,False,exFAT file system
BagMRU\5\3\1,2,0,0,Desktop\E:\\4 курс\БСБД\Практика,Directory,Практика,0,2021-03-03 14:10:28,2021-03-03 13:25:02,2021-03-03 14:10:26,,2314176032,,1,,,False,exFAT file system
BagMRU\6,0,52,1,Desktop\Search Folder\huawei,Variable: Users property view,huawei,0,,,,2021-05-27 17:27:32,,,0,2021-05-27 17:27:27,,False,
BagMRU\6,1,53,0,Desktop\Search Folder\HuaweiLabs,Variable: Users property view,HuaweiLabs,0,,,,2021-05-27 17:27:32,,,0,2021-05-27 17:27:32,2021-05-27 17:27:32,False,
